index,game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
0,2024020001,20242025,2,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,Buffalo,New Jersey,4,1,8480192,8474593,OFF,https://api-web.nhle.com/v1/gamecenter/2024020001/play-by-play,2024-10-04 13:00:00-04:00,1:00 PM,2024-10-04
1,2024020002,20242025,2,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey,Buffalo,1,3,8481032,8474596,OFF,https://api-web.nhle.com/v1/gamecenter/2024020002/play-by-play,2024-10-05 10:00:00-04:00,10:00 AM,2024-10-05
3,2024020003,20242025,2,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,Seattle,St. Louis,3,2,8479385,8476412,OFF,https://api-web.nhle.com/v1/gamecenter/2024020003/play-by-play,2024-10-08 16:30:00-04:00,4:30 PM,2024-10-08
187,2024020004,20242025,2,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,13,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,Florida,Boston,4,6,8479981,8475683,OFF,https://api-web.nhle.com/v1/gamecenter/2024020004/play-by-play,2024-10-08 19:00:00-04:00,7:00 PM,2024-10-08
371,2024020005,20242025,2,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,Utah,Chicago,2,5,8480849,8478971,OFF,https://api-web.nhle.com/v1/gamecenter/2024020005/play-by-play,2024-10-08 22:00:00-04:00,10:00 PM,2024-10-08
4,2024020006,20242025,2,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,Montréal,Toronto,0,1,8481540,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024020006/play-by-play,2024-10-09 19:00:00-04:00,7:00 PM,2024-10-09
188,2024020007,20242025,2,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh,New York,6,0,8475842,8478048,OFF,https://api-web.nhle.com/v1/gamecenter/2024020007/play-by-play,2024-10-09 19:30:00-04:00,7:30 PM,2024-10-09
372,2024020008,20242025,2,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,Edmonton,Winnipeg,6,0,8476392,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024020008/play-by-play,2024-10-09 22:00:00-04:00,10:00 PM,2024-10-09
556,2024020009,20242025,2,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Calgary,6,5,8482074,8478435,OFF,https://api-web.nhle.com/v1/gamecenter/2024020009/play-by-play,2024-10-09 22:00:00-04:00,10:00 PM,2024-10-09
740,2024020010,20242025,2,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,54,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,Vegas,Colorado,4,8,8478109,8478499,OFF,https://api-web.nhle.com/v1/gamecenter/2024020010/play-by-play,2024-10-09 22:00:00-04:00,10:00 PM,2024-10-09
