conferenceName,conferenceSequence,divisionName,divisionSequence,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,pointPctg,points,streakCode,streakCount,winPctg,teamName.default,tri_code,date,season_id
Eastern,1,Northeast,1,22,20,0.909091,43,63,2.863636,0.636364,28,W,3,0.545455,Toronto Maple Leafs,TOR,11/23/2000,20002001
Eastern,2,Atlantic,1,21,-2,-0.095238,58,56,2.666667,0.571429,24,W,6,0.47619,Philadelphia Flyers,PHI,11/23/2000,20002001
Eastern,3,Southeast,1,20,-11,-0.55,58,47,2.35,0.45,18,W,1,0.35,Carolina Hurricanes,CAR,11/23/2000,20002001
Eastern,4,Northeast,2,21,16,0.761905,52,68,3.238095,0.619048,26,L,1,0.52381,Ottawa Senators,OTT,11/23/2000,20002001
Eastern,5,Northeast,3,19,6,0.315789,45,51,2.684211,0.605263,23,L,2,0.526316,Buffalo Sabres,BUF,11/23/2000,20002001
Eastern,6,Atlantic,2,20,5,0.25,56,61,3.05,0.575,23,L,1,0.5,Pittsburgh Penguins,PIT,11/23/2000,20002001
Eastern,7,Atlantic,3,21,16,0.761905,58,74,3.52381,0.547619,23,W,4,0.47619,New Jersey Devils,NJD,11/23/2000,20002001
Eastern,8,Atlantic,4,21,5,0.238095,66,71,3.380952,0.52381,22,W,1,0.52381,New York Rangers,NYR,11/23/2000,20002001
Eastern,9,Northeast,4,21,-26,-1.238095,77,51,2.428571,0.428571,18,W,1,0.333333,Boston Bruins,BOS,11/23/2000,20002001
Eastern,10,Southeast,2,19,-11,-0.578947,71,60,3.157895,0.447368,17,W,1,0.368421,Tampa Bay Lightning,TBL,11/23/2000,20002001
Eastern,11,Southeast,3,21,-13,-0.619048,64,51,2.428571,0.404762,17,W,1,0.238095,Washington Capitals,WSH,11/23/2000,20002001
Eastern,12,Atlantic,5,19,-13,-0.684211,55,42,2.210526,0.421053,16,OT,1,0.315789,New York Islanders,NYI,11/23/2000,20002001
Eastern,13,Southeast,4,19,-11,-0.578947,53,42,2.210526,0.394737,15,W,1,0.210526,Florida Panthers,FLA,11/23/2000,20002001
Eastern,14,Southeast,5,19,-14,-0.736842,62,48,2.526316,0.394737,15,L,3,0.210526,Atlanta Thrashers,ATL,11/23/2000,20002001
Eastern,15,Northeast,5,22,-14,-0.636364,69,55,2.5,0.318182,14,W,1,0.272727,Montréal Canadiens,MTL,11/23/2000,20002001
Western,1,Northwest,1,22,24,1.090909,46,70,3.181818,0.75,33,W,1,0.681818,Colorado Avalanche,COL,11/23/2000,20002001
Western,2,Central,1,20,24,1.2,38,62,3.1,0.725,29,L,1,0.65,St. Louis Blues,STL,11/23/2000,20002001
Western,3,Pacific,1,19,16,0.842105,40,56,2.947368,0.736842,28,W,2,0.684211,San Jose Sharks,SJS,11/23/2000,20002001
Western,4,Northwest,2,22,16,0.727273,61,77,3.5,0.659091,29,OT,1,0.545455,Vancouver Canucks,VAN,11/23/2000,20002001
Western,5,Northwest,3,25,8,0.32,65,73,2.92,0.58,29,W,1,0.52,Edmonton Oilers,EDM,11/23/2000,20002001
Western,6,Pacific,2,22,14,0.636364,50,64,2.909091,0.636364,28,L,2,0.5,Phoenix Coyotes,PHX,11/23/2000,20002001
Western,7,Pacific,3,20,13,0.65,40,53,2.65,0.65,26,W,3,0.55,Dallas Stars,DAL,11/23/2000,20002001
Western,8,Central,2,22,9,0.409091,56,65,2.954545,0.590909,26,L,1,0.545455,Detroit Red Wings,DET,11/23/2000,20002001
Western,9,Pacific,4,22,14,0.636364,62,76,3.454545,0.590909,26,L,1,0.5,Los Angeles Kings,LAK,11/23/2000,20002001
Western,10,Pacific,5,23,-16,-0.695652,77,61,2.652174,0.456522,21,L,1,0.347826,Anaheim Ducks,ANA,11/23/2000,20002001
Western,11,Central,3,21,-7,-0.333333,52,45,2.142857,0.47619,20,L,2,0.333333,Nashville Predators,NSH,11/23/2000,20002001
Western,12,Central,4,22,-11,-0.5,67,56,2.545455,0.409091,18,L,1,0.318182,Chicago Blackhawks,CHI,11/23/2000,20002001
Western,13,Northwest,4,23,-16,-0.695652,64,48,2.086957,0.369565,17,T,1,0.217391,Calgary Flames,CGY,11/23/2000,20002001
Western,14,Central,5,22,-26,-1.181818,70,44,2,0.363636,16,L,3,0.318182,Columbus Blue Jackets,CBJ,11/23/2000,20002001
Western,15,Northwest,5,22,-15,-0.681818,60,45,2.045455,0.340909,15,T,1,0.227273,Minnesota Wild,MIN,11/23/2000,20002001
Eastern,1,Atlantic,1,23,6,0.26087,63,69,3,0.652174,30,W,2,0.608696,New York Rangers,NYR,11/22/2001,20012002
Eastern,2,Northeast,1,22,14,0.636364,50,64,2.909091,0.659091,29,L,1,0.545455,Toronto Maple Leafs,TOR,11/22/2001,20012002
Eastern,3,Southeast,1,25,-1,-0.04,63,62,2.48,0.56,28,T,1,0.44,Carolina Hurricanes,CAR,11/22/2001,20012002
Eastern,4,Atlantic,2,21,10,0.47619,51,61,2.904762,0.690476,29,W,2,0.619048,New York Islanders,NYI,11/22/2001,20012002
Eastern,5,Northeast,2,21,22,1.047619,49,71,3.380952,0.642857,27,T,1,0.571429,Ottawa Senators,OTT,11/22/2001,20012002
Eastern,6,Northeast,3,21,3,0.142857,48,51,2.428571,0.595238,25,L,1,0.47619,Boston Bruins,BOS,11/22/2001,20012002
Eastern,7,Atlantic,3,20,17,0.85,43,60,3,0.6,24,T,1,0.5,Philadelphia Flyers,PHI,11/22/2001,20012002
Eastern,8,Northeast,4,21,-4,-0.190476,54,50,2.380952,0.547619,23,W,3,0.47619,Montréal Canadiens,MTL,11/22/2001,20012002
Eastern,9,Atlantic,4,21,-7,-0.333333,51,44,2.095238,0.5,21,L,1,0.380952,Pittsburgh Penguins,PIT,11/22/2001,20012002
Eastern,10,Atlantic,5,19,-5,-0.263158,54,49,2.578947,0.526316,20,T,1,0.421053,New Jersey Devils,NJD,11/22/2001,20012002
Eastern,11,Northeast,5,23,0,0,59,59,2.565217,0.434783,20,W,1,0.391304,Buffalo Sabres,BUF,11/22/2001,20012002
Eastern,12,Southeast,2,21,-12,-0.571429,63,51,2.428571,0.428571,18,W,2,0.380952,Washington Capitals,WSH,11/22/2001,20012002
Eastern,13,Southeast,3,22,-12,-0.545455,60,48,2.181818,0.386364,17,W,1,0.272727,Florida Panthers,FLA,11/22/2001,20012002
